Accuracy: 0.4402, lambda: 2.750907120871825e-07, eta: 0.01505125763086477
Accuracy: 0.4391, lambda: 2.781727242105804e-07, eta: 0.007276151338190022
Accuracy: 0.4386, lambda: 1.3967052958103132e-08, eta: 0.006148315444700951
Accuracy: 0.4383, lambda: 5.490376079254263e-06, eta: 0.010667595407500232
Accuracy: 0.4381, lambda: 2.2967977556198426e-05, eta: 0.00767542216949996
Accuracy: 0.4381, lambda: 1.8063577936339e-07, eta: 0.005618344913923209
Accuracy: 0.4374, lambda: 4.151538011155905e-08, eta: 0.011642943068031385
Accuracy: 0.4368, lambda: 5.8861930257557805e-06, eta: 0.0078005184521979356
Accuracy: 0.4367, lambda: 5.702266276375432e-07, eta: 0.014194780805517039
Accuracy: 0.4365, lambda: 3.7590823465008614e-06, eta: 0.008630893178032022
Accuracy: 0.4365, lambda: 1.0514610275293934e-05, eta: 0.0056748081889689325
Accuracy: 0.4363, lambda: 4.4322968055243465e-06, eta: 0.00586290429922625
Accuracy: 0.4361, lambda: 7.321669108232134e-07, eta: 0.012751896813391119
Accuracy: 0.4359, lambda: 2.637068362913082e-05, eta: 0.011514632036544835
Accuracy: 0.4357, lambda: 1.8457514656839222e-07, eta: 0.008928012539922602
Accuracy: 0.4356, lambda: 1.7729979830715547e-07, eta: 0.005310644709104733
Accuracy: 0.4356, lambda: 1.26544276037295e-07, eta: 0.004786050610892325
Accuracy: 0.4355, lambda: 7.16086808424015e-05, eta: 0.008579867024146074
Accuracy: 0.4355, lambda: 1.7581182785773144e-08, eta: 0.0078775481487029
Accuracy: 0.4354, lambda: 3.4586076400365436e-08, eta: 0.009088744944389581
Accuracy: 0.4353, lambda: 6.83541687553096e-05, eta: 0.005525258002773378
Accuracy: 0.4353, lambda: 1.2390766437069054e-05, eta: 0.005616750833074415
Accuracy: 0.4352, lambda: 4.172938653808715e-08, eta: 0.006393892315815456
Accuracy: 0.4352, lambda: 1.9382525058726767e-05, eta: 0.016223158444439296
Accuracy: 0.435, lambda: 6.527039439646536e-05, eta: 0.004489217555811915
Accuracy: 0.435, lambda: 4.81604385154379e-05, eta: 0.013235628473099136
Accuracy: 0.4349, lambda: 8.039979618239279e-06, eta: 0.0071123348517920125
Accuracy: 0.4349, lambda: 1.956288649519354e-08, eta: 0.014943432942759566
Accuracy: 0.4346, lambda: 3.2568376139969195e-07, eta: 0.00501794621247931
Accuracy: 0.4345, lambda: 2.8693360040854057e-08, eta: 0.00888110779176863
Accuracy: 0.4345, lambda: 3.4863226594338035e-05, eta: 0.015203969594189678
Accuracy: 0.4345, lambda: 6.850393341855111e-07, eta: 0.012109974336296462
Accuracy: 0.4344, lambda: 2.963255810067313e-07, eta: 0.005271251082630826
Accuracy: 0.4343, lambda: 4.5471510455204707e-07, eta: 0.008178501582106906
Accuracy: 0.4342, lambda: 2.3013192522019226e-08, eta: 0.011715234659432496
Accuracy: 0.4339, lambda: 2.9917697450382683e-07, eta: 0.007076016680357221
Accuracy: 0.4339, lambda: 1.3108603024218056e-05, eta: 0.005389882960068735
Accuracy: 0.4338, lambda: 4.374913339345451e-06, eta: 0.004264495901416169
Accuracy: 0.4337, lambda: 2.611352942854702e-07, eta: 0.005094909112116167
Accuracy: 0.4337, lambda: 1.140580952455816e-08, eta: 0.007034033692257628
Accuracy: 0.4336, lambda: 1.02665352951774e-06, eta: 0.005577268147317404
Accuracy: 0.4335, lambda: 1.1479650300533165e-06, eta: 0.007080021139484052
Accuracy: 0.4334, lambda: 7.379403828553973e-07, eta: 0.00786353532566663
Accuracy: 0.4334, lambda: 9.946590571546333e-05, eta: 0.005069284501455604
Accuracy: 0.4334, lambda: 1.5827454444646264e-07, eta: 0.007951924416939227
Accuracy: 0.4333, lambda: 2.662915695594211e-07, eta: 0.013432958531771452
Accuracy: 0.4333, lambda: 1.0496255290311825e-05, eta: 0.007092838825231201
Accuracy: 0.4333, lambda: 7.105534959488861e-07, eta: 0.004533715002389637
Accuracy: 0.4332, lambda: 1.0291247913076625e-05, eta: 0.014084549056606251
Accuracy: 0.4332, lambda: 7.908944647078351e-08, eta: 0.004820143288801986
Accuracy: 0.4327, lambda: 1.0356490938274752e-07, eta: 0.004570366987166446
Accuracy: 0.4324, lambda: 4.0649368502078825e-06, eta: 0.004338171464304704
Accuracy: 0.4322, lambda: 3.1461752195685006e-06, eta: 0.008837301211103862
Accuracy: 0.4318, lambda: 6.885059884700451e-07, eta: 0.003992877804317354
Accuracy: 0.4318, lambda: 2.1878274479661186e-07, eta: 0.008831314662815478
Accuracy: 0.4311, lambda: 2.556560923819917e-07, eta: 0.008227897461351634
Accuracy: 0.4307, lambda: 1.1482814472632233e-08, eta: 0.012592584180521588
Accuracy: 0.4282, lambda: 3.330137475720713e-07, eta: 0.01978549840311065
Accuracy: 0.4282, lambda: 5.157060497376253e-06, eta: 0.003630316844910723
Accuracy: 0.4273, lambda: 1.5822009292422046e-06, eta: 0.00308231448508622
Accuracy: 0.4271, lambda: 1.201879181138682e-06, eta: 0.01821810741034186
Accuracy: 0.427, lambda: 1.4113565947251744e-07, eta: 0.003283948135874945
Accuracy: 0.4267, lambda: 2.486770030537991e-05, eta: 0.019437408939459735
Accuracy: 0.4259, lambda: 7.349386908588436e-06, eta: 0.0032850452691536173
Accuracy: 0.4257, lambda: 2.8472829634508802e-05, eta: 0.003110928581520772
