Accuracy: 0.4472, lambda: 0.0023292248102687557, eta: 0.017453577972249945
Accuracy: 0.4437, lambda: 0.00590089433327251, eta: 0.013611753934771816
Accuracy: 0.4429, lambda: 0.0014195906437909028, eta: 0.018820783416993257
Accuracy: 0.4419, lambda: 0.006978123281426795, eta: 0.015649607982654253
Accuracy: 0.4405, lambda: 0.001313012912892023, eta: 0.01562547520675799
Accuracy: 0.4398, lambda: 0.0012100681675325953, eta: 0.007890563026844603
Accuracy: 0.4392, lambda: 0.004157067569778018, eta: 0.027720692189945113
Accuracy: 0.4389, lambda: 0.0006468908430287112, eta: 0.01439585087344988
Accuracy: 0.4388, lambda: 0.0037976637878846726, eta: 0.03362744658706436
Accuracy: 0.4384, lambda: 0.0004036076522813281, eta: 0.005968214431497402
Accuracy: 0.4384, lambda: 0.0018033504012946711, eta: 0.006057814235286279
Accuracy: 0.4381, lambda: 0.0007797163579366779, eta: 0.007771747188053903
Accuracy: 0.4379, lambda: 0.0015731868759237791, eta: 0.005990773308608335
Accuracy: 0.4375, lambda: 0.001958959372713923, eta: 0.023389324527880808
Accuracy: 0.4374, lambda: 0.00011385698421194323, eta: 0.010988882919077332
Accuracy: 0.4373, lambda: 0.0006268280851338939, eta: 0.007102892912535048
Accuracy: 0.4368, lambda: 0.00797401026487788, eta: 0.014182568382486022
Accuracy: 0.4367, lambda: 0.00011341028657473885, eta: 0.005903064579109513
Accuracy: 0.4364, lambda: 0.00953727924000196, eta: 0.013950441906152088
Accuracy: 0.4363, lambda: 0.0002369888353382818, eta: 0.00915148162115935
Accuracy: 0.4362, lambda: 0.00022355444626607075, eta: 0.015496641839219925
Accuracy: 0.4361, lambda: 0.000371088175744049, eta: 0.015287966422208086
Accuracy: 0.436, lambda: 0.0005581894641987539, eta: 0.020693931298291026
Accuracy: 0.4359, lambda: 0.0004639307754600491, eta: 0.008034373673387281
Accuracy: 0.4356, lambda: 0.0016613377310123695, eta: 0.02104543123802319
Accuracy: 0.435, lambda: 0.007478872070524577, eta: 0.026370105647284443
Accuracy: 0.435, lambda: 0.0002387099173913888, eta: 0.012607223205716606
Accuracy: 0.4345, lambda: 0.0005619139451342799, eta: 0.004663989022633722
Accuracy: 0.4342, lambda: 0.0024847287695314757, eta: 0.030257822936472716
Accuracy: 0.4341, lambda: 0.0013457976571466005, eta: 0.004527371812980319
Accuracy: 0.4337, lambda: 0.0002654570972439723, eta: 0.003949915845591801
Accuracy: 0.4328, lambda: 0.0001948243834594665, eta: 0.00573788809541574
Accuracy: 0.4321, lambda: 0.00040268867998635076, eta: 0.018126995072149963
Accuracy: 0.4318, lambda: 0.006700365731995725, eta: 0.005774986721116597
Accuracy: 0.4315, lambda: 0.0003710137245242605, eta: 0.024342177518986423
Accuracy: 0.4311, lambda: 0.0009941066024185135, eta: 0.0037875533793678318
Accuracy: 0.4303, lambda: 0.0006710716728229202, eta: 0.0035191209094389488
Accuracy: 0.429, lambda: 0.0022108481572723432, eta: 0.003490007775347321
Accuracy: 0.4289, lambda: 0.0034410516199293423, eta: 0.003739565632356038
Accuracy: 0.4262, lambda: 0.00015217853989135788, eta: 0.0028946966767085837
Accuracy: 0.4253, lambda: 0.0009324847733917116, eta: 0.002989651384027769
Accuracy: 0.4235, lambda: 0.008563347235336884, eta: 0.004169259435686883
Accuracy: 0.4235, lambda: 0.00029102518616387965, eta: 0.0023306847282064617
Accuracy: 0.4228, lambda: 0.0007197021795214987, eta: 0.026659951535680515
Accuracy: 0.4224, lambda: 0.008178300883786512, eta: 0.004422293135551276
Accuracy: 0.4213, lambda: 0.00991351615219678, eta: 0.003851776378130048
Accuracy: 0.4201, lambda: 0.0016782451265841716, eta: 0.002247306322916776
Accuracy: 0.4191, lambda: 0.00013828903605308995, eta: 0.02457670233553426
Accuracy: 0.4177, lambda: 0.003661072359107382, eta: 0.0022058976471998177
Accuracy: 0.4175, lambda: 0.0004737190584733272, eta: 0.031190272072336312
Accuracy: 0.4166, lambda: 0.0006363653653086748, eta: 0.02624070968051511
Accuracy: 0.4152, lambda: 0.006111774481363304, eta: 0.002192892284544754
Accuracy: 0.4105, lambda: 0.0001619404524461238, eta: 0.0016417084809887915
Accuracy: 0.4098, lambda: 0.00012413054534934876, eta: 0.001544716207417109
Accuracy: 0.4092, lambda: 0.00010958010861297321, eta: 0.024383173466365073
Accuracy: 0.4046, lambda: 0.00014569303246021715, eta: 0.0013871449977558208
Accuracy: 0.4036, lambda: 0.0002340378641920521, eta: 0.0012454564626893053
Accuracy: 0.403, lambda: 0.00174740166461772, eta: 0.001348598753809337
Accuracy: 0.4026, lambda: 0.005553361470205564, eta: 0.0015924897848925248
Accuracy: 0.4018, lambda: 0.0029042984138772446, eta: 0.0014064469090573194
Accuracy: 0.4015, lambda: 0.0003268073346536134, eta: 0.0012079341453687955
Accuracy: 0.4007, lambda: 0.001593414332318286, eta: 0.0012280901033331572
Accuracy: 0.3975, lambda: 0.0035007134966054524, eta: 0.0012766366935984107
Accuracy: 0.3967, lambda: 0.0003513947875428536, eta: 0.0010484895445791404
Accuracy: 0.3964, lambda: 0.0005942489230579393, eta: 0.03906253604907977
Accuracy: 0.3962, lambda: 0.00011565441670799523, eta: 0.0010338229167959094
Accuracy: 0.3935, lambda: 0.00017878053227015042, eta: 0.00100201829378167
Accuracy: 0.3926, lambda: 0.0027050748451726185, eta: 0.001031291037152929
Accuracy: 0.3924, lambda: 0.0035215705358280294, eta: 0.0011017547199507556
Accuracy: 0.3875, lambda: 0.005766698121695298, eta: 0.001006803414282774
